0,1,2,3,4,5,6,7,8,9,10
113.22,47.61,38.63,4.92,37.21,14.64,67.57,26.63,553.0,2.75,954000000.0
114.47,48.19,39.46,4.97,37.37,14.68,67.92,26.54,561.64,2.76,990000000.0
116.38,48.17,38.92,5.17,37.5,14.64,69.09,26.34,557.61,2.77,963000000.0
117.69,48.55,39.82,5.18,38.22,14.54,68.1,26.6,566.16,2.75,945000000.0
116.81,48.9,39.79,4.95,38.03,14.21,70.09,26.47,563.67,2.74,954000000.0
115.34,49.58,39.96,5.3,38.56,14.42,69.45,26.96,564.95,2.8,972000000.0
116.54,49.33,39.26,5.52,38.54,14.31,67.61,26.86,565.37,2.84,981000000.0
116.06,49.09,38.69,5.32,38.57,14.21,67.63,26.51,577.54,2.79,999000000.0
113.03,48.63,37.84,5.26,37.28,14.02,65.56,25.73,567.0,2.63,954000000.0
113.82,47.54,37.86,5.02,37.06,14.03,64.97,25.9,563.64,2.65,981000000.0
112.91,47.83,40.16,4.8,36.84,13.93,67.75,27.55,557.55,2.72,927000000.0
115.77,48.42,40.67,4.9,36.83,14.12,68.19,27.09,561.14,2.7,963000000.0
113.99,48.78,40.77,4.78,36.56,14.01,67.25,26.92,554.7,2.68,981000000.0
113.83,49.18,40.47,4.72,36.61,14.02,64.01,26.53,549.49,2.69,1026000000.0
114.81,50.99,40.89,4.87,36.23,14.14,61.88,26.53,541.31,2.69,1026000000.0
116.67,51.2,40.71,4.92,37.36,14.11,60.12,26.72,543.95,2.7,1026000000.0
115.44,51.06,41.52,5.13,37.34,14.07,59.57,26.91,544.86,2.7,1053000000.0
115.07,52.45,41.43,5.16,37.24,14.21,60.55,26.96,548.84,2.71,1053000000.0
115.94,51.1,41.35,5.22,37.3,14.3,61.16,26.9,548.02,2.72,1017000000.0
116.44,51.97,41.19,5.11,37.51,14.31,61.05,27.49,548.54,2.76,990000000.0
116.21,51.96,40.77,4.97,37.55,14.38,61.01,27.32,548.64,2.78,999000000.0
115.71,51.1,40.48,5.19,37.45,14.4,60.25,27.11,539.78,2.67,999000000.0
116.15,51.03,40.07,5.41,38.0,14.23,60.99,28.27,541.04,2.7,981000000.0
115.59,50.85,40.29,5.26,37.91,14.37,62.2,28.3,543.52,2.87,981000000.0
114.29,49.93,40.07,5.13,37.42,14.16,61.49,27.96,532.74,2.58,981000000.0
116.9,50.19,39.62,5.13,38.58,14.17,62.4,28.18,544.53,2.49,990000000.0
116.27,50.37,39.71,5.15,38.34,14.11,63.7,27.92,542.92,2.35,990000000.0
117.83,50.35,39.73,5.68,38.66,14.32,64.02,28.15,549.18,2.28,963000000.0
118.79,50.66,39.45,6.22,38.97,14.28,62.8,27.85,557.46,2.33,1044000000.0
119.35,50.34,39.53,6.92,43.04,14.23,63.51,27.62,573.66,2.3,1017000000.0
121.52,49.55,39.05,7.08,43.19,14.16,61.98,27.98,566.12,2.34,999000000.0
119.61,49.45,38.71,6.72,44.2,14.24,61.42,28.43,564.37,2.31,981000000.0
117.85,48.7,37.84,6.34,44.11,14.54,59.87,28.32,561.39,2.28,972000000.0
114.65,48.57,37.48,6.71,43.74,14.5,59.74,28.03,548.77,2.26,963000000.0
118.13,48.9,37.95,7.05,43.75,14.66,61.4,28.77,551.16,2.31,972000000.0
117.91,49.06,37.78,7.01,43.38,14.96,60.92,28.78,552.84,2.31,999000000.0
115.25,48.47,36.99,7.69,42.8,14.88,59.23,28.31,543.04,2.28,981000000.0
114.52,47.8,37.03,7.15,41.61,14.82,59.44,27.94,535.08,2.29,927000000.0
115.23,48.63,37.91,6.85,41.99,14.78,62.52,27.96,542.04,2.32,936000000.0
117.4,49.55,39.34,6.66,42.94,14.97,62.44,28.44,548.95,2.31,954000000.0
116.21,49.62,39.4,6.69,42.59,15.01,62.95,28.35,545.78,2.32,936000000.0
115.79,49.09,39.04,6.44,42.58,14.95,61.86,27.97,538.73,2.35,927000000.0
115.92,47.89,39.01,6.22,42.83,14.99,61.23,28.31,539.49,2.37,945000000.0
118.63,47.51,40.37,6.23,43.81,15.03,61.75,28.59,549.2,2.33,981000000.0
118.46,49.99,40.83,6.22,43.43,14.88,61.6,28.61,546.49,2.32,927000000.0
119.77,50.99,40.83,5.84,43.17,15.02,62.25,28.97,546.67,2.35,945000000.0
119.66,51.91,41.22,5.77,43.06,15.26,60.81,28.75,549.28,2.28,963000000.0
119.65,51.26,40.71,5.77,43.06,15.23,54.54,28.94,552.51,2.32,945000000.0
120.87,50.84,40.61,5.81,42.92,15.23,54.13,29.09,556.81,2.28,954000000.0
121.93,51.18,40.57,5.74,42.45,15.24,53.69,29.01,554.52,2.28,945000000.0
119.24,50.6,40.22,5.71,42.17,15.02,51.92,28.7,547.19,2.22,936000000.0
121.47,50.95,40.77,5.8,43.09,15.23,53.7,29.23,554.25,2.28,945000000.0
121.23,51.13,40.39,5.68,42.94,15.17,53.49,29.49,554.18,2.27,945000000.0
119.85,50.31,39.69,5.5,42.41,15.02,54.59,29.88,545.32,2.28,963000000.0
120.09,50.2,40.08,5.49,42.74,15.06,56.31,29.41,549.21,2.25,945000000.0
119.56,51.47,40.29,5.95,42.46,15.22,55.95,28.85,553.95,2.3,936000000.0
119.7,52.36,40.97,5.82,42.4,15.45,55.87,28.38,555.29,2.28,945000000.0
119.0,52.03,40.6,5.66,41.96,15.32,54.57,28.02,551.69,2.33,936000000.0
118.35,52.04,40.48,5.69,41.76,15.69,54.09,27.61,549.53,2.33,936000000.0
117.57,51.83,40.28,5.65,41.39,15.59,51.73,27.14,543.48,2.31,927000000.0
117.22,51.95,40.44,5.62,41.31,15.8,52.58,27.1,542.16,2.29,963000000.0
118.56,51.77,40.27,5.91,42.18,16.06,52.42,27.59,552.6,2.32,945000000.0
118.3,52.06,40.98,5.99,42.03,15.96,52.5,27.62,550.04,2.32,945000000.0
116.99,52.58,40.63,5.95,41.6,15.96,52.87,27.16,547.47,2.31,954000000.0
116.76,52.11,40.46,5.65,41.16,15.95,52.25,27.22,543.0,2.32,945000000.0
117.39,52.02,40.65,5.56,41.48,16.02,51.23,27.44,544.87,2.35,918000000.0
117.11,52.92,40.76,5.57,41.6,15.86,51.32,27.71,546.6,2.47,963000000.0
117.64,53.36,41.65,5.84,42.28,15.86,52.01,28.08,556.18,2.52,909000000.0
116.47,52.76,41.91,5.69,41.72,15.67,53.25,27.81,557.52,2.58,954000000.0
117.39,52.8,42.77,5.58,41.84,15.95,54.8,27.98,559.68,2.62,981000000.0
116.86,52.96,42.39,5.63,41.55,16.13,55.23,27.83,563.39,2.61,963000000.0
117.85,52.8,42.7,5.59,41.31,15.96,54.46,27.67,558.57,2.62,963000000.0
117.29,52.25,42.87,5.38,41.31,15.86,54.94,27.74,557.95,2.58,945000000.0
116.6,52.76,43.35,5.44,40.96,15.89,54.48,26.9,553.06,2.47,927000000.0
114.56,50.68,41.94,5.35,40.16,15.42,52.81,26.35,541.25,2.34,954000000.0
115.39,50.97,42.31,5.15,39.96,15.54,53.01,26.38,540.04,2.4,927000000.0
116.47,51.15,42.52,5.03,40.23,15.72,51.69,26.17,543.3,2.42,945000000.0
116.32,50.94,42.72,5.11,40.18,15.54,51.5,26.5,547.34,2.53,927000000.0
115.91,50.99,42.29,4.9,40.17,15.46,53.85,26.05,545.62,2.47,945000000.0
115.63,51.38,43.01,4.91,40.09,15.23,54.31,25.93,550.03,2.09,936000000.0
112.76,49.99,41.92,4.65,40.04,14.83,52.82,25.58,541.7,2.01,936000000.0
110.46,49.69,42.15,4.73,40.29,15.04,53.26,25.09,544.65,1.98,1026000000.0
113.41,50.22,43.33,4.74,40.37,15.24,55.51,25.3,556.11,1.96,990000000.0
115.6,50.39,44.4,5.15,41.21,15.54,56.39,25.78,571.73,1.96,963000000.0
115.55,50.41,44.72,4.98,41.29,15.64,55.73,25.71,584.18,2.05,1071000000.0
116.67,54.4,44.41,4.79,41.41,16.14,55.5,25.75,583.96,1.96,1071000000.0
118.22,54.99,44.73,4.87,42.23,16.38,54.98,25.93,601.78,1.87,1088999936.0
119.24,54.62,44.64,4.77,42.19,16.52,55.39,25.56,699.62,1.79,1134000000.0
121.5,54.49,44.68,4.73,42.46,16.54,55.35,25.24,692.84,1.8,1098000000.0
120.28,54.14,44.52,4.85,42.79,16.5,55.97,24.91,695.35,1.8,1008000000.0
115.2,54.32,44.87,4.71,41.21,16.84,57.07,24.81,695.1,1.79,1017000000.0
115.14,53.79,44.39,4.61,41.73,16.59,56.67,24.8,674.73,1.76,1017000000.0
114.53,52.83,43.8,4.41,41.58,16.34,56.49,24.33,654.77,1.67,1035000000.0
112.94,52.84,43.56,4.36,41.04,16.13,56.81,24.59,658.27,1.62,999000000.0
113.5,52.03,43.98,4.72,41.03,16.32,58.42,25.11,659.66,1.77,1053000000.0
113.14,52.27,44.64,4.85,41.89,16.58,57.21,25.16,661.43,1.96,1053000000.0
112.57,52.37,44.45,4.53,42.43,16.55,56.84,25.07,664.56,1.93,1080000000.0
111.59,52.17,45.66,4.59,42.26,16.32,56.39,25.11,657.5,1.93,1053000000.0
108.96,51.53,44.74,4.45,42.36,16.22,58.32,25.19,664.72,2.2,1080000000.0
105.46,51.8,44.44,4.57,43.02,16.25,58.95,25.26,661.28,2.13,1053000000.0
106.16,52.05,45.09,4.74,43.06,16.31,58.11,25.46,673.29,2.16,1008000000.0
106.39,50.95,44.63,4.87,42.19,16.26,57.51,25.37,670.15,2.11,1044000000.0
106.75,50.54,44.66,4.61,42.3,16.2,56.74,25.25,664.39,2.09,981000000.0
110.63,50.9,44.91,4.93,42.83,16.47,57.15,25.92,663.14,1.93,999000000.0
104.88,51.01,44.71,4.65,42.0,16.24,57.87,25.33,690.3,1.9,1017000000.0
106.49,48.43,43.83,4.77,42.3,15.99,57.41,25.76,691.47,1.9,1008000000.0
106.41,47.57,44.64,4.6,42.29,16.08,58.35,25.24,686.51,1.79,1035000000.0
107.16,47.86,44.93,4.57,42.54,16.16,58.53,25.38,689.37,1.84,1035000000.0
108.27,47.55,45.31,4.53,42.83,16.22,59.6,25.43,694.11,1.8,999000000.0
107.66,47.34,45.24,4.44,43.06,16.15,58.51,25.28,688.73,1.8,981000000.0
106.28,47.13,45.06,4.24,42.46,15.94,58.23,24.8,694.04,1.8,999000000.0
104.1,46.41,43.02,4.36,41.6,15.26,56.59,24.07,679.48,1.7,981000000.0
97.73,44.71,41.69,4.15,39.24,14.7,55.09,23.22,644.03,1.78,999000000.0
95.29,43.15,40.05,3.78,37.97,13.96,52.33,22.95,618.11,1.75,927000000.0
95.87,42.88,40.79,3.75,36.87,13.93,52.1,22.62,612.47,1.66,990000000.0
101.37,44.36,42.09,3.88,38.91,14.66,53.95,23.87,659.74,1.72,963000000.0
104.35,44.61,42.86,4.37,39.99,15.01,53.36,24.24,667.96,1.78,918000000.0
104.69,44.57,42.65,4.22,40.02,14.93,57.12,24.85,659.69,1.85,936000000.0
104.2,44.27,42.42,4.32,39.65,14.91,56.97,24.96,647.82,1.81,936000000.0
